card_slug,name,brand_name,reset_cycle,default_value,default_quantity,unit_name,notes
chase-hyatt-business,Free Night Award,Hyatt,annual,,1,free night,Category 1-4 properties
chase-hyatt-business,Discoverist Status,Hyatt,annual,,1,status,World of Hyatt Discoverist status
amex-delta-reserve,Delta Sky Club,Delta,annual,,4,guest,Unlimited access + guests when flying Delta
amex-delta-reserve,Companion Certificate,Delta,annual,,1,certificate,Companion flies free on domestic first class
amex-delta-reserve,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
amex-delta-reserve-business,Delta Sky Club,Delta,annual,,4,guest,Unlimited access + guests when flying Delta
amex-delta-reserve-business,Companion Certificate,Delta,annual,,1,certificate,Companion flies free on domestic first class
amex-delta-reserve-business,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
amex-delta-platinum,Companion Certificate,Delta,annual,,1,certificate,Companion flies at reduced rate
amex-delta-platinum,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
amex-delta-platinum-business,Companion Certificate,Delta,annual,,1,certificate,Companion flies at reduced rate
amex-delta-platinum-business,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
amex-delta-gold,First Bag Free,Delta,annual,,1,benefit,First checked bag free
amex-delta-gold-business,First Bag Free,Delta,annual,,1,benefit,First checked bag free
chase-united-club,United Club,,annual,,2,guest,Unlimited access + guests
chase-united-club,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
chase-united-club-business,United Club,,annual,,2,guest,Unlimited access + guests
chase-united-club-business,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
chase-united-quest,Anniversary Award,,cardmember_year,125,,,125 anniversary award miles
chase-united-quest,United Travel Bank Credit,,annual,50,,,$50 United Travel Bank credit
chase-united-explorer,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
chase-united-explorer,First Bag Free,United,annual,,2,bag,First checked bag free for you + companion
chase-united-business,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
chase-southwest-priority,Southwest Credit,Southwest,annual,75,,,7500 anniversary points (~$75 value)
chase-southwest-priority,WiFi Credits,Southwest,annual,,4,pass,4 inflight WiFi credits per year
chase-southwest-priority,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
chase-southwest-performance-business,Southwest Credit,Southwest,annual,100,,,10000 anniversary points (~$100 value)
chase-southwest-performance-business,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
bilt-card,Rent Day Bonus,Bilt,monthly,,,, Double points on rent day (1st of month)
us-bank-altitude-reserve,Travel Credit,,cardmember_year,325,,,Travel purchases via mobile wallet
us-bank-altitude-reserve,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
us-bank-altitude-reserve,Priority Pass Lounge,,annual,,4,guest,Unlimited visits + guests
wells-fargo-autograph-journey,Airline Credit,,annual,100,,,Statement credit for airlines
amex-business-platinum,Dell Credit,Dell,semiannual,100,,,Up to $100 semiannually ($200/year)
amex-business-platinum,Indeed Credit,Indeed,monthly,150,,,Job posting credits monthly
amex-business-platinum,Adobe Credit,Adobe,monthly,15,,,Adobe Creative Cloud monthly
amex-business-platinum,Wireless Credit,,monthly,10,,,AT&T/Verizon/T-Mobile/Sprint monthly
amex-business-platinum,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
amex-business-platinum,Centurion Lounge Access,,annual,,4,guest,Unlimited cardholder + guests
amex-business-platinum,Airline Fee Credit,,annual,200,,,Incidental airline fees
amex-business-gold,Wireless Credit,,monthly,10,,,AT&T/Verizon/T-Mobile/Sprint monthly
amex-business-gold,Flexible Credit,,annual,150,,,FedEx/Grubhub/Office Depot (one category)
chase-ink-business-preferred,Lyft Pink,Lyft,annual,60,,,Lyft Pink membership
bank-of-america-premium-rewards-elite,Airline Credit,,annual,100,,,Incidental airline fees
bank-of-america-premium-rewards-elite,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
bank-of-america-premium-rewards-elite,Lifestyle Credit,,quarterly,25,,,Peloton/Instacart/Peacock quarterly
bank-of-america-premium-rewards,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
chase-freedom-flex,DoorDash DashPass,DoorDash,quarterly,,,, 3 months free then discounted DashPass
chase-freedom-unlimited,DoorDash DashPass,DoorDash,quarterly,,,, 3 months free then discounted DashPass
aeroplan-card,NEXUS Credit,,cardmember_year,50,,,NEXUS application fee credit
aeroplan-card,Companion Pass,,annual,,1,pass,Companion pass for redemption flights
